,PC1 nlog pval,PC1 tscore,Age nlog pval,Age tscore,Gender nlog pval,Gender tscore,Sleep nlog pval,Sleep tscore
sstcrspvsicrspbleftclwm,0.003312911841710012,1.5078461879834413,-0.0,-1.0149910852458692,-0.0,-0.34314556266472707,0.00013029486029127207,1.2484068393951324
sstcrspvsicrspbleftltvnt,-0.0,0.5078317788042284,-0.0,1.059443779606418,-0.0,-1.1620074479520903,0.7878558228729048,2.9357745324962776
sstcrspvsicrspbleftinflatvent,-0.0,0.27090191326113955,4.342727686267685e-05,-1.2272146825699037,0.002176701037717935,-1.4784600063902404,1.991443255514945,4.022781167899912
sstcrspvsicrspbleftcbmwm,-0.0,0.25274819199297743,-0.0,-0.4326659204592733,-0.0,0.17361917181384573,-0.0,0.24663587575533338
sstcrspvsicrspbleftcbmcx,-0.0,-0.6642409094165753,-0.0,0.47120205925971226,-0.0,-0.12982752705907563,-0.0,-0.14887694683294683
sstcrspvsicrspblefttpr,-0.0,0.18819355082704656,-0.0,-1.0868426988689073,-0.0,0.05024298770759242,0.0013047110210449647,1.4088686981204854
sstcrspvsicrspbleftcaudate,0.007843497481277587,1.6061775583836564,-0.0,0.03104906135390313,0.013943802221733071,-1.687236261643677,0.0003040821702946462,1.285960026697161
sstcrspvsicrspbleftputamen,-0.0,0.9583751545631887,-0.0,0.19585210592910196,0.6893501149335021,-2.799016440375603,-0.0,0.9699794296328764
sstcrspvsicrspbleftpallidum,-0.0,0.5706623719404516,-0.0,0.07105652792773652,0.0003040821702946462,-1.313806378537097,-0.0,-0.5813115932535718
sstcrspvsicrspb3rdvnt,0.934090446962993,3.0442678659046982,-0.0,0.2729211072413293,-0.0,-0.07796380620470748,0.4025676374064852,2.515424963982136
sstcrspvsicrspb4thvnt,-0.0,0.08361041614538202,-0.0,-0.6437101728954023,-0.0,-0.32974120514141453,-0.0,-0.20325698348781107
sstcrspvsicrspbbrainstem,-0.0,-1.1216871590784432,-0.0,-0.706354012676143,-0.0,0.9543296322978204,-0.0,0.8670780160132413
sstcrspvsicrspblefthmp,-0.0,1.2359483244022726,-0.0,-0.8018071970465666,-0.0,-1.0043403887027234,0.1257355941488237,2.073786660694999
sstcrspvsicrspbleftay,-0.0,1.1327348690583612,-0.0,-0.9201124434003096,-0.0,-0.5842003137061609,0.036775175750627574,1.7929152209216643
sstcrspvsicrspbcsf,-0.0,-0.021511352610856228,-0.0,-0.4058813838938399,-0.0,0.29715476649678607,0.6720718036538521,2.817793776675968
sstcrspvsicrspbleftaa,0.011261583823222444,1.6560352448903324,0.0604742586209611,-1.9134755543029536,-0.0,-0.2726364606168897,-0.0,-0.6977872227214644
sstcrspvsicrspbleftvldc,0.21407330214485315,2.259597017388228,-0.0,0.2618091240557933,-0.0,-0.4086868553271057,0.0053744054513332785,1.5253791091881956
sstcrspvsicrspbtclwm,-0.0,1.1243410334013524,-0.0,-0.529359268126979,-0.0,-0.9373718838183411,0.05344380226173,1.867563467407884
sstcrspvsicrspbtltvnt,0.0010869868063764576,1.4394963577667272,-0.0,0.9500401672148832,-0.0,-1.0676979898067276,0.3710418079898709,2.473803189919766
sstcrspvsicrspbtinflatvent,-0.0,-0.2824552432146616,-0.0,-0.1762712087882519,-0.0,-0.39600633416554276,-0.0,0.42106807116505873
sstcrspvsicrspbtcbmwm,4.342727686267685e-05,-1.255065638365047,-0.0,-0.11824224072444371,-0.0,0.21360766470547426,0.021406478892388323,1.6988296959367342
sstcrspvsicrspbtcbmcx,-0.0,-0.8509962481778898,-0.0,-0.29842799252032526,-0.0,0.21202704539311792,-0.0,0.593373568891377
sstcrspvsicrspbttpr,-0.0,0.5113919313967467,-0.0,-0.25802252191692504,-0.0,-0.8437995219665931,0.0005648935975525157,1.358124411909576
sstcrspvsicrspbtcaudate,0.0010869868063764576,1.4433112734242208,-0.0,0.281056175382959,0.07773326406246676,-1.972139958564692,0.05462408467379949,1.8708531721412798
sstcrspvsicrspbtputamen,0.003706909181078834,1.5160728615513281,-0.0,-0.1225509658858927,0.6191089639461608,-2.7339634254542178,0.006960066578800675,1.5533023608590246
sstcrspvsicrspbtpallidum,0.0011305229180768252,1.4442033074614686,-0.0,-0.9379400848604814,0.00550632297836482,-1.5752749314560452,-0.0,0.42998696066049075
sstcrspvsicrspbthmp,0.05600514722244444,1.910671339833225,-0.0,0.31269756707604895,0.01935845291354802,-1.7251682464020617,0.11400415171042044,2.0475689147946396
sstcrspvsicrspbtay,0.12672282546146388,2.0876559671067723,-0.0,1.015112894809687,-0.0,0.4313239369247784,0.44313815822141484,2.5682031609060805
sstcrspvsicrspbtaa,1.1931853977580453,3.238995694026845,0.33634250188721454,-2.4386149041088347,-0.0,-0.04033636061623298,-0.0,-1.0396939187488714
sstcrspvsicrspbtvldc,0.00017373516859484146,1.3206868220751977,-0.0,-0.11620174234403674,-0.0,-0.6882659881225551,-0.0,-0.24268889119201528
sstcrspvsicrspbctxlhbankssts,-0.0,1.0539601256277762,-0.0,-0.30853993694005777,-0.0,-0.9551422689009419,0.1137783682471061,2.0468804108843663
sstcrspvsicrspbctxlhcdantcg,0.2294859524258676,2.2845030107025086,-0.0,-0.23435047503105055,-0.0,1.2295979993507915,4.342727686267685e-05,1.1691911906320942
sstcrspvsicrspbctxlhcdmdfr,-0.0,1.052002541144683,-0.0,0.5662939765768661,-0.0,-0.09501635414090644,-0.0,0.14573067396382577
sstcrspvsicrspbctxlhcuneus,0.0006953580701413141,1.3967129884184666,-0.0,-0.9300361119864785,0.007755073479770233,1.6171567412007448,-0.0,-0.8946799498859684
sstcrspvsicrspbctxlhentorhinal,-0.0,1.1506740934582655,-0.0,0.061603265061492385,-0.0,-0.2518195167095039,-0.0,-0.4359748236306525
sstcrspvsicrspbctxlhff,0.04066809070101957,1.8519148204307878,-0.0,-0.38422429790333573,-0.0,1.1234178478232792,-0.0,-0.46386013391643455
sstcrspvsicrspbctxlhifpar,0.007976167249195929,1.610544234338231,-0.0,-0.5868652160470424,-0.0,0.20382327657264016,-0.0,0.7140328315745665
sstcrspvsicrspbctxlhiftp,-0.0,0.8916537733472828,-0.0,-0.49348354160563346,0.000521414147958876,1.3561928926310478,-0.0,-0.38104039028678616
sstcrspvsicrspbctxlhisthmuscg,0.05526474615335571,1.9069318747288313,-0.0,-0.18585973904161054,-0.0,0.5247687192504298,-0.0,-1.09736374935147
sstcrspvsicrspbctxlhltoc,0.02004005569311635,1.7356674917481452,-0.0,0.9385728877172536,-0.0,-0.09373665355341138,0.19829680805740255,-2.2152323091143815
sstcrspvsicrspbctxlhltobofr,0.2315533221056176,2.287858138759061,-0.0,-0.8187319479928596,-0.0,-0.5081329347291517,-0.0,-0.13403421243035435
sstcrspvsicrspbctxlhlingual,0.00017373516859484146,1.3201011263565738,-0.0,-0.008763202881741143,8.685889667019445e-05,1.284504967307378,0.00013029486029127207,-1.238339328941394
sstcrspvsicrspbctxlhmlobofr,0.056153379028389995,1.911855467737617,-0.0,-1.128523431900144,-0.0,-0.5949880163692213,-0.0,0.13039374502420795
sstcrspvsicrspbctxlhmdtp,0.32079728186300355,2.41264624582042,0.0002171798224502398,1.33601680359368,-0.0,-0.4088167283171621,0.05982587167712754,1.8912446399442568
sstcrspvsicrspbctxlhparahip,0.018632587110974416,1.7271770089479377,-0.0,0.8852800866688255,0.0010434550585423532,1.4167354618055574,0.6855441993037111,2.832126704962385
sstcrspvsicrspbctxlhparact,-0.0,-0.06685292214049866,4.342727686267685e-05,-1.2039487409402154,-0.0,1.1414503702742318,0.13958563185339162,2.1026168775776206
sstcrspvsicrspbctxlhparsops,0.006122468475575854,1.5734591685167285,-0.0,0.1422334732704473,-0.0,-1.1181101787612855,0.0004779390508803438,1.3217613446840197
sstcrspvsicrspbctxlhpsb,0.03174731223060718,1.8129499593598708,-0.0,-0.044376955816574186,-0.0,-0.4023384778578592,-0.0,0.559591262376692
sstcrspvsicrspbctxlhparsgs,0.16031405207047467,2.160729310871041,0.0003040821702946462,1.355539010316174,-0.0,0.18354374396247106,-0.0,0.5239390351573493
sstcrspvsicrspbctxlhpcar,-0.0,0.9147092604027307,-0.0,0.16007854086697754,0.003838321098538198,1.5398550910933861,-0.0,-0.026815267872066083
sstcrspvsicrspbctxlhpostct,-0.0,0.04227686354819883,-0.0,-0.2284505780007733,-0.0,-0.0066241955667570495,0.045607940948380304,1.8342513985547377
sstcrspvsicrspbctxlhpstcg,0.4562236221342049,2.581271080297337,-0.0,0.016975390842784748,-0.0,-0.13243704799638759,-0.0,-0.18574206218748887
sstcrspvsicrspbctxlhprect,-0.0,0.8185657406574737,-0.0,0.5113726935371282,-0.0,-0.9678673158059982,0.23037076322137015,2.2671954471130236
sstcrspvsicrspbctxlhpcn,4.342727686267685e-05,1.281409861560373,-0.0,-1.1304439908878026,0.0014789690159210268,1.4558888111915733,-0.0,1.0868047786922315
sstcrspvsicrspbctxlhrlg,1.5735321659122874,3.4950959803235713,-0.0,-0.8804639441888567,-0.0,0.09967246838640574,-0.0,0.519591416238879
sstcrspvsicrspbctxlhtmd,-0.0,0.5102894380720489,-0.0,0.5390583436548211,-0.0,-0.25854164126633344,-0.0,0.37530194381837106
sstcrspvsicrspbctxlhsufr,0.0006518655577717494,1.3889552127930491,-0.0,0.5061944989144961,-0.0,-0.4256664280304211,-0.0,0.8418638265091224
sstcrspvsicrspbctxlhsupar,0.0052425279822587885,1.552551493813499,-0.0,-0.8272415281456488,-0.0,0.7020083814003742,-0.0,0.45702768487956824
sstcrspvsicrspbctxlhsutp,-0.0,0.8391422482587158,-0.0,0.5340232689791687,-0.0,-1.2127625570703515,0.13976532752462775,2.1027906900943543
sstcrspvsicrspbctxlhsmg,-0.0,0.6214742467866009,-0.0,-0.04851340157303895,-0.0,-1.182067516794195,-0.0,0.980642277997242
sstcrspvsicrspbctxlhfrpole,-0.0,0.324880883127321,-0.0,-0.08264575704245361,-0.0,0.31422745360528603,-0.0,0.8208235462368197
sstcrspvsicrspbctxlhtppole,8.685889667019445e-05,1.2943993445516992,8.685889667019445e-05,1.2513356618764322,-0.0,0.9099878480584956,0.0014789690159210268,1.4135603394900074
sstcrspvsicrspbctxlhtvstp,0.02186291033944876,1.7532657848615332,-0.0,-0.8735669170321209,-0.0,0.6612014778888241,0.2721769778093734,2.3348578731202063
sstcrspvsicrspbctxrhbankssts,-0.0,0.8398132116180421,-0.0,-0.2984611046548564,0.021315250138370826,-1.7387071766566862,0.9905925314781687,3.1229339974831705
sstcrspvsicrspbctxrhcdantcg,0.023831050159485553,1.7668982718630353,-0.0,0.22956197520554164,-0.0,-0.4291592356963872,0.005066753627171583,1.519684751867641
sstcrspvsicrspbctxrhcdmdfr,-0.0,1.1174180726246417,-0.0,0.9119309415608933,0.0004779390508803438,-1.352722720038295,-0.0,0.29187225204699024
sstcrspvsicrspbctxrhcuneus,-0.0,1.241809609755123,-0.0,0.032134567442612956,-0.0,0.33516983394554134,-0.0,-0.20467845732048648
sstcrspvsicrspbctxrhrh,-0.0,1.1271310834848478,-0.0,1.0692059504897404,-0.0,1.2393716928084662,0.0012176082365766305,-1.4027805429788411
sstcrspvsicrspbctxrhff,0.04305905953410251,1.8608582339114002,-0.0,-0.6426943980310243,-0.0,0.28825128774645953,-0.0,0.6162151280934961
sstcrspvsicrspbctxrhifpar,0.03705884295986561,1.8379909574256432,-0.0,-0.11490901755042704,-0.0,-0.8952986691520682,0.07303255830121158,1.934497505470752
sstcrspvsicrspbctxrhiftp,-0.0,0.6574111605053209,-0.0,-0.35545253533046517,-0.0,0.21964241446114555,0.1450091106009785,2.1128379892929687
sstcrspvsicrspbctxrhm,0.00039100191078358866,1.3424408008876219,-0.0,-0.28061292604625243,-0.0,-0.02923021871166685,-0.0,-0.7620821064825279
sstcrspvsicrspbctxrhltoc,0.25356491734683156,2.3184609035103465,-0.0,0.5082840763549991,-0.0,-0.13684411938322474,0.0023949723806565423,-1.4526743651129967
sstcrspvsicrspbctxrhltobofr,0.30499976845556853,2.3902454205865484,-0.0,-1.0653696675824034,-0.0,-0.2761443666735972,-0.0,0.9011254817860248
sstcrspvsicrspbctxrhlingual,0.0004779390508803438,1.358476432631545,-0.0,-0.2758471647028667,-0.0,0.3645678997212603,-0.0,0.32118365641287355
sstcrspvsicrspbctxrhmlobofr,0.2444734466480627,2.304725862313106,-0.0,-0.8244334528174281,-0.0,-0.41486161545353784,-0.0,-0.6125304426938789
sstcrspvsicrspbctxrhmdtp,0.026130856857157825,1.7815932379407513,-0.0,-0.14359668912024445,-0.0,-0.5139514625609203,-0.0,0.19564550534281092
sstcrspvsicrspbctxrhparahip,-0.0,0.153656901526565,-0.0,-0.03531668379753778,-0.0,0.5281718788202636,-0.0,0.692474009534318
sstcrspvsicrspbctxrhparact,-0.0,-0.7638360279012774,-0.0,-0.3893548277877433,-0.0,0.9768099299840972,-0.0,1.0757222903088328
sstcrspvsicrspbctxrhparsops,0.01917687269478354,1.7315895328329733,-0.0,0.6216176098156633,0.018587260754736087,-1.720864406153167,-0.0,0.9648492579823172
sstcrspvsicrspbctxrhpsb,0.041575108909918994,1.8564895404684796,-0.0,0.817891934265613,-0.0,-1.1226198466004174,0.003006716394335988,1.4766375971216346
sstcrspvsicrspbctxrhparsgs,0.0493378925030015,1.8838584882708536,4.342727686267685e-05,1.1805736338152548,0.01881393985686192,-1.722311421540391,0.028582022252275945,1.7460922829344645
sstcrspvsicrspbctxrhpcar,4.342727686267685e-05,1.2814246111424528,-0.0,-0.5906082013197618,0.014931447737508818,1.6947303890315544,-0.0,-0.8994300953372918
sstcrspvsicrspbctxrhpostct,-0.0,-0.1362776059772053,-0.0,-0.44521242643182035,0.018134257186070417,1.7154894622021901,0.5541280133257391,2.6954613432779846
sstcrspvsicrspbctxrhpstcg,-0.0,1.2489070092311685,-0.0,-0.1696961977338759,-0.0,-0.22527935962171655,-0.0,0.1727109546236712
sstcrspvsicrspbctxrhprect,-0.0,0.5237376367305676,-0.0,0.5287054046313852,-0.0,-0.2949588276508208,0.23549370821239546,2.2763891580350673
sstcrspvsicrspbctxrhpcn,0.0006953580701413141,1.397186625547646,-0.0,-0.7151719670000458,-0.0,0.3430429660749522,0.0005648935975525157,1.3515830934900899
sstcrspvsicrspbctxrhrlg,0.6286061098727618,2.769004905525594,4.342727686267685e-05,-1.1567326174752708,-0.0,-0.2398158751057155,-0.0,-0.2779177676311812
sstcrspvsicrspbctxrhstralmdfr,-0.0,0.6415387975867238,0.004671521248700257,1.5415944536030621,0.1373754770482747,-2.112066114425796,-0.0,0.28585022553904427
sstcrspvsicrspbctxrhsufr,-0.0,0.4064318526227179,-0.0,0.5523910467666443,0.013943802221733071,-1.686498907956796,-0.0,0.7585176233523824
sstcrspvsicrspbctxrhsupar,-0.0,1.2095193579150139,-0.0,-0.4679883030524804,-0.0,0.6396478149596954,0.0013482689652069323,1.4091165482006538
sstcrspvsicrspbctxrhsutp,0.018224820106199094,1.7250050266494457,-0.0,-0.30843522552918895,-0.0,-0.7897202520448444,0.05119052107714916,1.8575605376318889
sstcrspvsicrspbctxrhsmg,-0.0,0.5011830172652845,-0.0,-0.06857309789355982,-0.0,0.45028500499056395,0.03653892786257184,1.7913198470961527
sstcrspvsicrspbctxrhfrpole,-0.0,0.18483099365292954,-0.0,0.27644283462894254,-0.0,0.190135048594781,-0.0,0.31670244547580223
sstcrspvsicrspbctxrhtppole,-0.0,0.4447557801750448,-0.0,-0.6570839513323327,0.08427436129317853,1.9921972658044511,-0.0,-1.0482523278471438
sstcrspvsicrspbctxrhtvstp,-0.0,0.11468341597722348,-0.0,0.1907163816850535,-0.0,-0.284313065309373,1.362553697764352,3.459373335065838
